id	sentence	utterance
10	How do you not tear off his clothes and take him right here on this table?	['rest is related to take', 'bring is related to take', 'accept is related to take', 'do is related to action', 'repeat is related to do', 'play is related to do', '*Something you find on a table is a tablecloth', 'desk is related to table', '*Something you find on a table is food', '*Something you find on the table is a plate', 'table is related to furniture', 'a table is for Putting things on', '*Something you find under the table is floor', 'table is related to eating', 'drop is related to tear', 'cry is related to tear']
11	Not as relieved as I'm about to be. It's a brave new world, little lady.	['the world is round', 'The world is diverse', 'earth is related to world', 'The world is a big place', 'Our world is the earth', 'You are likely to find a world in space', 'You are likely to find a world in a galaxy', 'The world is where we live', 'be is related to exist', 'exist is related to to be', 'being is related to to be', 'little is related to small', 'little is related to tiny', 'baby is related to little', 'city is related to new', 'modern is related to new', 'new is not old', 'baby is related to new', 'fresh is related to new', 'bold is related to brave', 'brave is similar to lionhearted', 'brave is a synonym of braw', 'lady is related to woman', 'lady is related to female', 'You can use a lady to have sex', 'lady is related to gentleman', 'woman is related to lady', 'You are likely to find a lady in a supermarket', 'lady is related to lord']
12	I'm not going to bother him, I'm going to talk to him.	['bother is a way to confuse', 'talk is related to speak', 'Something that might happen when you talk is someone will listen', 'Something that might happen when you talk is open mouth', 'talk is related to communication', 'One of the things you do when you express information is to talk', 'Something you might do while communicating is talk', 'having a conversation requires you to talk', 'One of the things you do when you make a phone call is talk', 'An activity a friend can do is talk', 'Something you might do while enjoying the company of your friends is talk']
13	- No, no, no. I'm really good at this. All right, give me a hint. Does it involve difficulty initiating a stream of anything?	"['offer is related to give', 'provide is related to give', 'pay is related to give', 'surrender is related to give', 'feed is related to give', 'turn is related to right', 'a person wants to be right', 'right is related to direction', 'right is related to correct', 'river is related to stream', 'You are likely to find a stream in a forest', 'You are likely to find water in a stream', 'clue is a synonym of hint', 'hint is a type of suggestion', 'suggest is a synonym of hint', 'hint is a synonym of trace', 'intimate is a way to hint', 'affect is a synonym of involve', 'involve is a synonym of necessitate', 'involve is a way to admit', ""an inanimate object doesn't want anything"", 'kink is a type of difficulty', 'wall is a type of difficulty', 'formidability is a type of difficulty', 'killer is a type of difficulty', 'difficulty is a type of cognitive factor', 'Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good']"
14	Why? Because I got an ugly, itchy sweater, and my brother got a car? No, I was her favorite.	['brother is related to sibling', 'brother is related to male', 'sister is related to brother', 'A brother can bug his sister', 'brother is related to boy', 'brother is related to sister', 'brother is related to family', 'You are likely to find a brother in your family', 'drive is related to car', 'You are likely to find a car in the city', 'You are likely to find a car in a parking lot', 'car is related to vehicle', 'A car can go fast', 'a car can crash', 'a car has seats', '*Something you find at the repair shop is a car', 'wool is related to sweater', 'Somewhere a sweater can be is in a drawer', 'flea is related to itchy', 'wool is related to itchy', 'itchy is similar to painful', 'painful is similar to itchy', 'itchy is a synonym of fidgety', 'favorite is a type of choice', 'favorite is a synonym of best-loved', 'favorite is a synonym of favourite', 'favourite is a synonym of favorite']
15	Can we talk about something else? Do you know that I yodel?	['You would find information because you want to know something', 'You would read the news because you want to know', 'You would learn because you want to know something', 'You would read a book because you want to know', 'A stranger is somebody you do not know', 'talk is related to speak', 'Something that might happen when you talk is someone will listen', 'Something that might happen when you talk is open mouth', 'talk is related to communication', 'One of the things you do when you express information is to talk', 'Something you might do while communicating is talk', 'having a conversation requires you to talk', 'One of the things you do when you make a phone call is talk', 'An activity a friend can do is talk', 'Something you might do while enjoying the company of your friends is talk']
16	I can't believe we wasted all that time on our Hulk costumes.	['minute is related to time', 'hour is related to time', 'clock is related to time', 'watch is related to time', 'time is related to clock', 'morning is related to time', 'evening is related to time', 'time is related to minutes', 'believe is related to faith', '*Something you find at an opera is costumes']
17	People usually start a meeting with a joke, but you go ahead-- end with one.	['*Something you find at a meeting is an agenda', '*Something you find at a meeting is notepad', '*Something you find at a meeting is discussion', '*Something you find at a meeting is a group of people', 'a stranger is for meeting', 'appointment is related to meeting', 'end is related to finish', 'end is not beginning']
18	What do you think I was gonna do at home?	['If you want to contemplate then you should think', 'If you want to create an idea then you should think', 'Something you might do while answering questions is Think', 'One of the things you do when you analyse something is think', 'One of the things you do when you contemplate is think', 'If you want to answer questions then you should think', 'Something you need to do before you talk to someone is think', 'nest is related to home', 'home is related to house', 'home is related to place', 'home is related to family', 'home is related to living', 'house is related to home', 'home is related to live', 'home is related to dwelling']
19	I was gonna say we pick up a cake or a pie. But an insult to her faith is always thoughtful.	['say is related to speak', 'repeat is related to say', 'say is related to talk', 'mention is related to say', 'faith is related to belief', 'religion is related to faith', 'believe is related to faith', 'faith is related to religion', 'praying requires faith', '*Something you find in church is faith', 'Belief in God requires faith', 'faith is related to religious', 'hope is related to faith', 'cake is related to birthday', 'cake is related to dessert', 'cake is related to food', 'birthday is related to cake', 'cake is related to icing', 'cake is related to candles', 'cake is related to sweet', 'cake is related to pie', 'apple is related to pie', '*Something you find in the oven is a pie', '*Something you find on the windowsill is a pie', 'insult is a synonym of abuse', 'indignity is a type of insult', 'thoughtful is similar to considerate', 'thoughtful is similar to deliberative', 'thoughtful is related to considerate']
20	Ooh, I'm gonna check the fridge, and see if there are any clues inside a beer.	['*Something you find on the fridge is milk', '*Something you find in the fridge is food', '*Something you find in the fridge is butter', '*Something you find in the fridge is eggs', '*Something you find in the fridge is left-overs', '*Something you find on the fridge is dust', '*Something you find in the fridge is orange juice', 'You are likely to find a stick of butter in a fridge', '*Something you find on the fridge is magnets', '*Something you find in the fridge is apples', 'eye is related to see', 'look is related to see', 'view is related to see', 'a person wants to see', 'window is related to see', 'clear is related to see', 'glass is related to see', 'You are likely to find a check in counter in an airport', 'You can use a check to pay', 'You can use a check to pay a bill', 'Beer is an alcoholic beverage', '*Something you find at a bar is beer', 'beer is for drinking', '*Something you find in the refrigerator is beer', '*Something you find at a hockey game is beer', 'Beer is a beverage']
21	Well, my beer isn't flat and my rack's not saggy. So far, the future's great.	['past is not future', 'future is the opposite of past', 'future is not past', 'rack is a way to work', 'magazine rack is a type of rack', 'bicycle rack is a type of rack', 'rack is a synonym of single-foot', 'spice rack is a type of rack', 'tripod is a type of rack', 'rack entails stretch', 'Beer is an alcoholic beverage', '*Something you find at a bar is beer', 'beer is for drinking', '*Something you find in the refrigerator is beer', '*Something you find at a hockey game is beer', 'Beer is a beverage', 'great is related to good', 'great is related to alexander', 'plate is related to flat', 'paper is related to flat', 'board is related to flat', 'table is related to flat']
22	And of those few months, how long have you been a demented sex pervert?	['Sex is fun', 'Sex is an activity', 'Sometimes sex causes children', 'Sex can be pleasurable', 'Sex is good', 'Sometimes sex causes an orgasm', 'demented is a synonym of brainsick', 'sodomite is a type of pervert', 'pervert is a type of reprobate', 'deviate is a synonym of pervert', 'fracture is a way to pervert', 'few is not many', 'few is related to little', 'few is the opposite of many', 'few is related to number']
23	Let the dead man talk. So, why do you think that?	['If you want to contemplate then you should think', 'If you want to create an idea then you should think', 'Something you might do while answering questions is Think', 'One of the things you do when you analyse something is think', 'One of the things you do when you contemplate is think', 'If you want to answer questions then you should think', 'Something you need to do before you talk to someone is think', 'grave is related to dead', 'dead is not alive', 'You would bury the cat because it is dead', 'Groucho Marx is dead', 'Elvis is dead', 'talk is related to speak', 'Something that might happen when you talk is someone will listen', 'Something that might happen when you talk is open mouth', 'talk is related to communication', 'One of the things you do when you express information is to talk', 'Something you might do while communicating is talk', 'having a conversation requires you to talk', 'One of the things you do when you make a phone call is talk', 'An activity a friend can do is talk', 'Something you might do while enjoying the company of your friends is talk', 'boy is related to man', 'man is related to person', 'man is related to boy', 'person is related to man', 'fellow is related to man', 'father figure is a type of man']
24	Well, now that I've given up string theory, I'm struggling to find my next area of focus. So, in your professional opinion, which of these areas do you think is the most promising?	['discover is related to find', 'find is related to search', 'find is related to discover', 'find is related to locate', 'find is related to seek', 'next is related to after', 'If you want to contemplate then you should think', 'If you want to create an idea then you should think', 'Something you might do while answering questions is Think', 'One of the things you do when you analyse something is think', 'One of the things you do when you contemplate is think', 'If you want to answer questions then you should think', 'Something you need to do before you talk to someone is think', 'doctor is related to professional', 'The first thing you do when you look through a telescope is focus it', 'likely is similar to promising', 'promising is similar to auspicious', 'theory is related to idea', 'theory is related to hypothesis', 'theory is related to scientific', 'a theory can be disproven', 'Relativity is a type of theory.', 'theory is related to science', 'theory is related to evolution', 'garden is related to area', 'field is related to area', 'district is related to area', 'room is related to area', 'space is related to area', 'city is related to area', 'shade is related to area', 'opinion is a type of belief', 'opinion is a synonym of impression', 'idea is a type of opinion', 'opinion is a type of message']
25	You know, if you're really serious about that, I hear there are some exciting opportunities in home care for the old and fat.	['care is related to love', 'care is related to loving', 'care is related to concern', 'care is related to after', 'care is related to tend', 'adventure is related to exciting', 'nest is related to home', 'home is related to house', 'home is related to place', 'home is related to family', 'home is related to living', 'house is related to home', 'home is related to live', 'home is related to dwelling', 'age is related to old', 'record is related to old', 'ancient is related to old', 'old is related to age', 'ruin is related to old', 'old is not young', 'animal fat is a type of fat', 'endomorphic is related to fat', 'edible fat is a type of fat', 'fat is similar to overweight', 'fat is similar to zaftig', 'fat is a synonym of productive', 'porcine is similar to fat', 'fat is a synonym of juicy', 'fat is similar to blubbery', 'intellectual is similar to serious', 'serious is similar to serious-minded', 'difficult is similar to serious', 'serious is similar to difficult', 'solid is similar to serious', 'serious is similar to overserious']
26	And if it turns out you don't... - you and I could live together. - You and... Oh, sure.	['certain is related to sure', 'home is related to live', 'Something you need to do before you live is be born', 'The last thing you do when you Live is Die', 'You would breathe because you want live', 'One of the things you do when you live is breathe', 'Humanity wants to live', 'Something you need to do before you die is live']
27	- You and... Oh, sure. And while we're at it, why don't we get engaged, too? Why don't we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?!	['home is related to house', 'room is related to house', '*Something you find in a house is a computer', '*Something you find in a house is a carpet', 'nest is related to house', 'door is related to house', 'house is related to building', '*Something you find in a house is your bedroom', 'Something you need to do before you get something is ask for it', 'If you want to get something then you should reach for it', 'get is related to receive', 'get is related to acquire', 'get is related to obtain', 'start is related to beginning', 'start is related to begin', 'lady is related to woman', 'dress is related to woman', 'woman is related to female', 'girl is related to woman', 'mother is related to woman', 'woman is related to girl', 'woman is related to lady', 'evening is related to sunset', 'listen is related to hear', 'sound is related to hear', 'hear is related to listen', 'hear is related to sense', 'hear is related to ears', 'little is related to small', 'little is related to tiny', 'baby is related to little', 'home is related to family', '*Something you find at your house is your family', 'family is related to group', 'a person wants have a family', 'daughter is related to family', '*Something you find in a family is love', 'family is related to people', 'certain is related to sure']
28	There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc.	['listen is related to hear', 'sound is related to hear', 'hear is related to listen', 'hear is related to sense', 'hear is related to ears', 'talk is related to speak', 'Something that might happen when you talk is someone will listen', 'Something that might happen when you talk is open mouth', 'talk is related to communication', 'One of the things you do when you express information is to talk', 'Something you might do while communicating is talk', 'having a conversation requires you to talk', 'One of the things you do when you make a phone call is talk', 'An activity a friend can do is talk', 'Something you might do while enjoying the company of your friends is talk', 'You are likely to find a cat in your way', 'door is related to way']
29	I'm with him three years, nothing. She's with two minutes, and he's taking his pants off.	['none is related to nothing', 'space is related to nothing']
30	I'll give you a plan right now. Step one: open comic book store. Step two: start rumor this comic book store gives you genital warts.	['Sometimes telling many people about something causes a rumor', 'offer is related to give', 'provide is related to give', 'pay is related to give', 'surrender is related to give', 'feed is related to give', 'department is related to store', '*Something you find at a store is clothes', 'market is related to store', 'You are likely to find a store in a town', '*Something you find at a store is bread', 'bank is related to store', 'design is related to plan', 'Something you might do while designing software is plan', 'If you want to destroy your enemy then you should plan', 'Something you need to do before you commit murder is plan', 'start is related to beginning', 'start is related to begin', 'page is related to book', 'reading is related to book', 'a book is used for learning', 'dictionary is related to book', 'a book is part of library', 'A book is created by a writer.', 'book is related to pages', 'You are likely to find a book in a classroom', 'book is related to reading', 'If you want to read the newspaper then you should open it', 'door is related to open', 'wound is related to open', 'a door can open.', 'If you want to read a book then you should open it', 'field is related to open', 'venereal is a synonym of genital', 'comic is used in the context of drama', 'comic is a synonym of laughable']
31	On the bright side, that Oxford study was right. One friend down. I wonder who you're going to lose next.	"['Something you need to do before you pass your university exams is study', 'If you want to learn about a subject then you should study it', 'If you want to pass a class then you should study', 'If you want to pass a course then you should study', 'An activity a student can do is study', 'If you want to learn then you should study', 'Study requires concentration', 'science is related to study', 'edge is related to side', 'slope is related to side', 'side is related to edge', 'next is related to after', 'sun is related to bright', 'Something that might happen while competing is you lose', 'Something that might happen while playing a game is you lose', 'Something that might happen while playing chess is you lose', 'Something that might happen when you play games is you lose', 'defeat is related to lose', 'a friend is for confiding', 'dog is related to friend', 'An activity a friend can do is talk', 'a friend is used for companionship', 'friend is related to buddy', 'enemy is not friend', 'friend is related to pal', ""*Something you find at a friend's wedding is your friend"", 'A friend can come over', 'A friend can keep a secret', 'enemy is the opposite of friend']"
32	That's how much buying a comic book store means to me.	['department is related to store', '*Something you find at a store is clothes', 'market is related to store', 'You are likely to find a store in a town', '*Something you find at a store is bread', 'bank is related to store', 'page is related to book', 'reading is related to book', 'a book is used for learning', 'dictionary is related to book', 'a book is part of library', 'A book is created by a writer.', 'book is related to pages', 'You are likely to find a book in a classroom', 'book is related to reading', 'Something that might happen when you shop is buying', 'Something that might happen while buying something is spending money', 'buying something requires spending money', 'Something you might do while buying something is find a sales clerk', 'Something that might happen as a consequence of buying something is having less money', 'Buying ANYthing requires money', 'The effect of buying something is spending money', 'Sometimes buying something causes losing money', 'Something you might do while buying something is determine the manufacturer', 'Something you might do while buying something is make an appointment with the seller', 'Something that might happen as a consequence of buying something is less money', 'much is related to lot', 'much is the opposite of little', 'price is related to much', 'comic is used in the context of drama', 'comic is a synonym of laughable']
33	Okay, sit down. Listen, Emily, what happened between me and Raj was a long time ago. It was,	['dress is related to long', 'ago is related to long', 'rifle is related to long', 'hall is related to long', 'far is related to long', 'rabbit is related to long', 'river is related to long', 'minute is related to time', 'hour is related to time', 'clock is related to time', 'watch is related to time', 'time is related to clock', 'morning is related to time', 'evening is related to time', 'time is related to minutes']
34	It's true-- you're both gorgeous. Kind of says something about the man who could bed you both.	['fact is related to true', 'bed is related to sleeping', 'bed is related to sleep', 'bed is related to furniture', 'You are likely to find a cat in a bed', 'You can use a bed to have sex', 'bed is related to mattress', 'bed is related to place', '*Something you find under the bed is a dust bunny', 'gorgeous is similar to beautiful', 'boy is related to man', 'man is related to person', 'man is related to boy', 'person is related to man', 'fellow is related to man', 'father figure is a type of man']
35	I don't need a reason-- it's my house.	['home is related to house', 'room is related to house', '*Something you find in a house is a computer', '*Something you find in a house is a carpet', 'nest is related to house', 'door is related to house', 'house is related to building', '*Something you find in a house is your bedroom', 'purpose is related to reason', 'because is related to reason', 'cause is related to reason', 'need is related to want', 'need is related to requirement', 'need is related to desire', 'need would make you want to buy something', 'You would buy products because you need them', 'need is related to necessity', 'need is related to require', 'need is related to must']
36	Boy, when you met Bernadette, the field of robotics really took a hit.	['crop is related to field', '*Something you find in a field is wheat', 'field is related to area', '*Something you find in a field is a snake', 'You are likely to find corn in a field', 'You are likely to find a grape in field', 'You are likely to find a field in the country', '*Something you find in a field is grass', 'You are likely to find an apple tree in field', 'smash is related to hit', 'slap is related to hit']
37	Let's not talk about this in front of our friends.	['cover is related to front', 'face is related to front', 'back is not front', 'door is related to front', 'back is the opposite of front', 'talk is related to speak', 'Something that might happen when you talk is someone will listen', 'Something that might happen when you talk is open mouth', 'talk is related to communication', 'One of the things you do when you express information is to talk', 'Something you might do while communicating is talk', 'having a conversation requires you to talk', 'One of the things you do when you make a phone call is talk', 'An activity a friend can do is talk', 'Something you might do while enjoying the company of your friends is talk']
38	Maybe it's a good thing we came here. It's like a lesson in what not to do.	['Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good', 'tennis lesson is a type of lesson', 'lesson is a part of course', 'lesson is a synonym of moral', 'exercise is a type of lesson', 'object is a kind of thing', 'do is related to action', 'repeat is related to do', 'play is related to do']
39	Same as all of us, getting out of a car without underwear.	['thong is related to underwear', 'drive is related to car', 'You are likely to find a car in the city', 'You are likely to find a car in a parking lot', 'car is related to vehicle', 'A car can go fast', 'a car can crash', 'a car has seats', '*Something you find at the repair shop is a car']
40	Because no one wants to see Neil deGrasse Tyson in a wet T-shirt, bent over the hood of a Porsche.	"['rain is wet', ""a cat doesn't want to be wet"", 'rain is related to wet', 'paint is related to wet', 'water is related to wet', '*Something you find under water is wet', 'dry is not wet', 'one is related to number', 'one is related to first', 'one is related to two', 'one is a number', 'one is related to single', 'cowling is a synonym of hood', 'camail is a type of hood', 'tough is a synonym of hood', 'hood is a type of criminal', 'bent grass is a synonym of bent', 'eye is related to see', 'look is related to see', 'view is related to see', 'a person wants to see', 'window is related to see', 'clear is related to see', 'glass is related to see']"
41	Wow, he really went where no man has gone before.	['boy is related to man', 'man is related to person', 'man is related to boy', 'person is related to man', 'fellow is related to man', 'father figure is a type of man']
42	Well, he said it was a tribble. It could be a toupee, but either way, it's pretty cool.	['be is related to exist', 'exist is related to to be', 'being is related to to be', 'You are likely to find a cat in your way', 'door is related to way', 'toupee is a type of hairpiece', 'toupe is a synonym of toupee', 'diamonds are pretty', 'flower is related to pretty', 'beauty is related to pretty', 'pretty is related to beautiful', 'People like flowers because they are pretty', 'shade is related to cool', 'You would get wet because you want to be cool']
43	Ah, that's a good question. Apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available.	['one is related to first', 'first is related to second', 'first is related to before', 'first is related to before second', 'first is related to number', 'ring is related to engagement', 'be is related to exist', 'exist is related to to be', 'being is related to to be', 'available is a synonym of uncommitted', 'available is similar to easy', 'easy is similar to available', 'available is similar to open', 'available is similar to accessible', 'available is similar to in stock', 'You can use a show to entertain', 'a show is used for entertainment', '*Something you find at a show is seats', 'You are likely to find an audience in a show', 'You are likely to find a show in a theatre', '*Something you find at a show is an actor', '*Something you find at a show is an entertainer', '*Something you find at a show is a seat', 'answer is related to question', 'ask is related to question', 'question is related to answer', 'why is related to question', 'question is related to ask', 'question is related to query', 'answer is the opposite of question', 'question is related to asking', 'ring is related to finger', 'ring is related to jewelry', '*Something you find on your finger is ring', 'ring is related to circle', 'bell is related to ring', 'ring is related to wedding', 'ring is related to engagement', 'ring is related to round', 'call is related to ring', 'Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good', 'call is related to someone', 'someone is a synonym of person']
44	Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere.	['*Something you find in the corner is Dust', 'edge is related to corner', '*Something you find in the corner is a spider web', '*Something you find in the corner is a right angle', 'corner is related to edge', 'corner is related to walls', 'You are likely to find a corner shop in a corner', '*Something you find in the corner is a dunce', 'corner is related to angle', 'farm is related to barn', 'You are likely to find a stall in the barn', 'You are likely to find a cat in in a barn', 'You are likely to find a cat in the barn', 'a barn is for keeping animals', 'You are likely to find a barn in the country', 'have is related to possess', 'have is related to own', 'must is related to have', 'possess is related to have', 'need is related to have', 'own is related to have']
45	Next time I might be in a rush, it's good to have a few in the bank.	['be is related to exist', 'exist is related to to be', 'being is related to to be', 'rush is related to hurry', 'rush is related to fast', 'minute is related to time', 'hour is related to time', 'clock is related to time', 'watch is related to time', 'time is related to clock', 'morning is related to time', 'evening is related to time', 'time is related to minutes', 'bank is related to money', 'You are likely to find a money in a bank', 'bank is related to building', 'a bank is for storing money', 'account is related to bank', 'bank is related to institution', 'few is not many', 'few is related to little', 'few is the opposite of many', 'few is related to number', 'Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good', 'have is related to possess', 'have is related to own', 'must is related to have', 'possess is related to have', 'need is related to have', 'own is related to have']
46	I'm listening to you snore. I'm wondering how I'll ever sleep without it.	['bed is related to sleep', 'Something that might happen when you sleep is you dream', 'If you want to sleep then you should close your eyes', 'dream is related to sleep', 'Something you need to do before you dream is sleep', 'rest is related to sleep']
47	He probably got a new one. Finish your breakfast. Look, there's an entire section of my dashboard that doesn't have any syrup on it.	['department is related to section', 'part is related to section', 'entire is related to whole', 'egg is related to breakfast', 'Breakfast is a meal', 'Breakfast is the first meal of the day', 'morning is related to breakfast', 'city is related to new', 'modern is related to new', 'new is not old', 'baby is related to new', 'fresh is related to new', 'dashboard is a type of control panel', 'dashboard is a synonym of splashboard', 'fascia is a synonym of dashboard', 'have is related to possess', 'have is related to own', 'must is related to have', 'possess is related to have', 'need is related to have', 'own is related to have']
48	And here I am in the trap. You just keep talking. I'm gonna chew my leg off.	['preserve is related to keep', 'You would record somethign because you want to keep it', 'keep is related to retain', 'keep is related to hold', 'One of the things you do when you eat vegetables is chew them', 'One of the things you do when you eat lunch is chew', 'One of the things you do when you eat is chew', 'You are likely to find a mouse in a trap', 'leg is related to foot', 'leg is related to body', 'leg is related to limb', 'leg is related to appendage', 'leg is related to part', 'leg is related to body part', 'foot is related to leg', 'A leg is part of a table', 'feet is related to leg']
49	And I love that I work and do all the cleaning, and you're okay with that.	['go is similar to a-okay', 'okay is a synonym of all right', 'a-ok is a synonym of a-okay', 'a-okay is similar to go', 'okay is a synonym of approve', 'okay is a synonym of hunky-dory', 'okay is a synonym of O.K.', 'soap is related to cleaning', 'wash is related to cleaning', 'a wash cloth is for cleaning', 'a cloth is for cleaning something', 'a soap is for cleaning', 'water can be used for cleaning', 'napkin is related to cleaning']
